augpath,source,augment_index,class,infraclass
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083205_aug322.jpg,IMG20250703083205.png,322,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083205_aug348.jpg,IMG20250703083205.png,348,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083239.jpg,IMG20250703083239.png,0,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083239_aug42.jpg,IMG20250703083239.png,42,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083239_aug82.jpg,IMG20250703083239.png,82,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083239_aug108.jpg,IMG20250703083239.png,108,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083239_aug160.jpg,IMG20250703083239.png,160,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083239_aug213.jpg,IMG20250703083239.png,213,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083239_aug222.jpg,IMG20250703083239.png,222,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083249.jpg,IMG20250703083249.png,0,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083249_aug33.jpg,IMG20250703083249.png,33,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083249_aug63.jpg,IMG20250703083249.png,63,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083249_aug127.jpg,IMG20250703083249.png,127,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083249_aug139.jpg,IMG20250703083249.png,139,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083249_aug215.jpg,IMG20250703083249.png,215,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083249_aug262.jpg,IMG20250703083249.png,262,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703083249_aug265.jpg,IMG20250703083249.png,265,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_early\IMG20250703083314.jpg,IMG20250703083314.png,0,melanose,melanose_early
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_early\IMG20250703083314_aug13.jpg,IMG20250703083314.png,13,melanose,melanose_early
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_early\IMG20250703083314_aug25.jpg,IMG20250703083314.png,25,melanose,melanose_early
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_early\IMG20250703083314_aug41.jpg,IMG20250703083314.png,41,melanose,melanose_early
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_early\IMG20250703083314_aug56.jpg,IMG20250703083314.png,56,melanose,melanose_early
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_early\IMG20250703083314_aug67.jpg,IMG20250703083314.png,67,melanose,melanose_early
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_early\IMG20250703083314_aug81.jpg,IMG20250703083314.png,81,melanose,melanose_early
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083330.jpg,IMG20250703083330.png,0,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083330_aug57.jpg,IMG20250703083330.png,57,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083330_aug89.jpg,IMG20250703083330.png,89,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083330_aug188.jpg,IMG20250703083330.png,188,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083330_aug276.jpg,IMG20250703083330.png,276,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083330_aug338.jpg,IMG20250703083330.png,338,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_small\IMG20250703083336.jpg,IMG20250703083336.png,0,melanose,melanose_small
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_small\IMG20250703083336_aug51.jpg,IMG20250703083336.png,51,melanose,melanose_small
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_small\IMG20250703083336_aug251.jpg,IMG20250703083336.png,251,melanose,melanose_small
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_small\IMG20250703083336_aug300.jpg,IMG20250703083336.png,300,melanose,melanose_small
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083520.jpg,IMG20250703083520.png,0,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083520_aug62.jpg,IMG20250703083520.png,62,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083520_aug138.jpg,IMG20250703083520.png,138,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083520_aug147.jpg,IMG20250703083520.png,147,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083520_aug273.jpg,IMG20250703083520.png,273,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083520_aug295.jpg,IMG20250703083520.png,295,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083520_aug391.jpg,IMG20250703083520.png,391,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083621.jpg,IMG20250703083621.png,0,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083621_aug5.jpg,IMG20250703083621.png,5,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083621_aug105.jpg,IMG20250703083621.png,105,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083621_aug174.jpg,IMG20250703083621.png,174,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083621_aug224.jpg,IMG20250703083621.png,224,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083621_aug314.jpg,IMG20250703083621.png,314,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083621_aug360.jpg,IMG20250703083621.png,360,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\borer\borer_vertical_scar\IMG20250703083634.jpg,IMG20250703083634.png,0,borer,borer_vertical_scar
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\borer\borer_vertical_scar\IMG20250703083634_aug8.jpg,IMG20250703083634.png,8,borer,borer_vertical_scar
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\borer\borer_vertical_scar\IMG20250703083634_aug11.jpg,IMG20250703083634.png,11,borer,borer_vertical_scar
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\borer\borer_vertical_scar\IMG20250703083634_aug24.jpg,IMG20250703083634.png,24,borer,borer_vertical_scar
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\borer\borer_vertical_scar\IMG20250703083634_aug34.jpg,IMG20250703083634.png,34,borer,borer_vertical_scar
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\borer\borer_vertical_scar\IMG20250703083634_aug37.jpg,IMG20250703083634.png,37,borer,borer_vertical_scar
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\borer\borer_vertical_scar\IMG20250703083634_aug50.jpg,IMG20250703083634.png,50,borer,borer_vertical_scar
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\borer\borer_vertical_scar\IMG20250703083634_aug58.jpg,IMG20250703083634.png,58,borer,borer_vertical_scar
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\borer\borer_vertical_scar\IMG20250703083634_aug68.jpg,IMG20250703083634.png,68,borer,borer_vertical_scar
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\borer\borer_vertical_scar\IMG20250703083634_aug81.jpg,IMG20250703083634.png,81,borer,borer_vertical_scar
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\borer\borer_vertical_scar\IMG20250703083634_aug82.jpg,IMG20250703083634.png,82,borer,borer_vertical_scar
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083725.jpg,IMG20250703083725.png,0,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083725_aug21.jpg,IMG20250703083725.png,21,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083725_aug134.jpg,IMG20250703083725.png,134,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083725_aug182.jpg,IMG20250703083725.png,182,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083725_aug253.jpg,IMG20250703083725.png,253,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083725_aug299.jpg,IMG20250703083725.png,299,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083725_aug353.jpg,IMG20250703083725.png,353,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083729.jpg,IMG20250703083729.png,0,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083729_aug32.jpg,IMG20250703083729.png,32,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083729_aug99.jpg,IMG20250703083729.png,99,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083729_aug197.jpg,IMG20250703083729.png,197,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083729_aug266.jpg,IMG20250703083729.png,266,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083729_aug324.jpg,IMG20250703083729.png,324,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083732.jpg,IMG20250703083732.png,0,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083732_aug36.jpg,IMG20250703083732.png,36,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083732_aug104.jpg,IMG20250703083732.png,104,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083732_aug169.jpg,IMG20250703083732.png,169,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083732_aug271.jpg,IMG20250703083732.png,271,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083732_aug277.jpg,IMG20250703083732.png,277,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083732_aug385.jpg,IMG20250703083732.png,385,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083803.jpg,IMG20250703083803.png,0,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083803_aug24.jpg,IMG20250703083803.png,24,anthracnose,anthrac_rusty_lesion
