Name,Class,Status,Mask Index Override,X Point Override,Y Point Override
IMG20250703084155,Unlabeled,Unprocessed,,,
IMG20250703084201,Unlabeled,Unprocessed,,,
IMG20250703084210,Unlabeled,Unprocessed,,,
IMG20250703084216,Canker,Extracted,,,
IMG20250703084223,Unlabeled,Unprocessed,,,
IMG20250703084226,Unlabeled,Unprocessed,,,
IMG20250703084230,Unlabeled,Unprocessed,,,
IMG20250703084237,Unlabeled,Unprocessed,,,
IMG20250703084242,Unlabeled,Unprocessed,,,
IMG20250703084411,Unlabeled,Unusable,,,
IMG20250703084420,Unlabeled,Processed,,,
IMG20250703084432,Unlabeled,Processed,,,
IMG20250703084443,Anthracnose,Extracted,,,
IMG20250703084456,Anthracnose,Extracted,,,
IMG20250703084507,Unlabeled,Processed,,,
IMG20250703084530,Unlabeled,Processed,,,
IMG20250703084546,Unlabeled,Unprocessed,,,
IMG20250703084600,Unlabeled,Unprocessed,,,
IMG20250703084612,Unlabeled,Processed,,,
IMG20250703084621,Unlabeled,Processed,,,
IMG20250703084625,Unlabeled,Processed,,,
IMG20250703084638,Unlabeled,Processed,,,
IMG20250703084649,Unlabeled,Unprocessed,,,
IMG20250703084659,Unlabeled,Unprocessed,,,
IMG20250703084713,Unlabeled,Unprocessed,,,
IMG20250703084739,Anthracnose,Extracted,,,
IMG20250703084748,Unlabeled,Unprocessed,,,
IMG20250703084756,Unlabeled,Unprocessed,,,
IMG20250703084804,Unlabeled,Unprocessed,,,
IMG20250703084811,Unlabeled,Unprocessed,,,
IMG20250703084817,Anthracnose,Extracted,,,
IMG20250703084829,Unlabeled,Unprocessed,,,
IMG20250703084833,Unlabeled,Unprocessed,,,
IMG20250703084839,Unlabeled,Unprocessed,,,
IMG20250703084848,Anthracnose,Extracted,,,
IMG20250703084857,Anthracnose,Extracted,,,
IMG20250703084904,Unlabeled,Unprocessed,,,
IMG20250703084918,Unlabeled,Processed,,,
IMG20250703084932,Unlabeled,Processed,,,
IMG20250703084935,Unlabeled,Processed,,,
IMG20250703085016,Unlabeled,Processed,,,
IMG20250703085020,Unlabeled,Processed,,,
IMG20250703085029,Unlabeled,Processed,,,
IMG20250703085039,Anthracnose,Unusable,,,
IMG20250703085050,Anthracnose,Extracted,,,
IMG20250703085055,Anthracnose,Extracted,,,
IMG20250703085101,Unlabeled,Unprocessed,,,
IMG20250703085104,Unlabeled,Unprocessed,,,
IMG20250703085110,Unlabeled,Processed,,,
IMG20250703085125,Unlabeled,Processed,,,
IMG20250703085130,Unlabeled,Processed,,,
IMG20250703085232,Unlabeled,Processed,,,
IMG20250703085534,Unlabeled,Processed,,,
IMG20250703085540,Unlabeled,Processed,,,
IMG20250703085550,Mites,Processed,,,
IMG20250703085555,Unlabeled,Processed,,,
IMG20250703085604,Unlabeled,Processed,,,
IMG20250703085609,Unlabeled,Partial,,,
IMG20250703085615,Unlabeled,Processed,,,
IMG20250703085620,Unlabeled,Processed,,,
IMG20250703085629,Unlabeled,Processed,,,
IMG20250703085633,Unlabeled,Processed,,,
IMG20250703085642,Unlabeled,Partial,,,
IMG20250703085646,Unlabeled,Processed,,,
IMG20250703085654,Unlabeled,Processed,,,
IMG20250703085657,Unlabeled,Partial,,,
IMG20250703085701,Unlabeled,Processed,,,
IMG20250703085711,Unlabeled,Processed,,,
IMG20250703085716,Unlabeled,Processed,,,
IMG20250703085726,Unlabeled,Processed,,,
IMG20250703085730,Unlabeled,Processed,,,
IMG20250703085741,Unlabeled,Partial,,,
IMG20250703085744,Unlabeled,Processed,,,
IMG20250703085749,Unlabeled,Partial,,,
IMG20250703085753,Unlabeled,Partial,,,
IMG20250703085759,Unlabeled,Processed,,,
IMG20250703085803,Unlabeled,Processed,,,
IMG20250703085813,Unlabeled,Processed,,,
IMG20250703085817,Unlabeled,Processed,,,
IMG20250703085830,Unlabeled,Processed,,,
IMG20250703085835,Unlabeled,Processed,,,
IMG20250703085850,Unlabeled,Processed,,,
IMG20250703085854,Unlabeled,Processed,,,
IMG20250703085908,Unlabeled,Processed,,,
IMG20250703085912,Unlabeled,Processed,,,
IMG20250703085932,Unlabeled,Processed,,,
IMG20250703085938,Unlabeled,Processed,,,
IMG20250703085943,Unlabeled,Processed,,,
IMG20250703085948,Unlabeled,Processed,,,
IMG20250703090024,Unlabeled,Partial,,,
IMG20250703090030,Unlabeled,Partial,,,
IMG20250703090036,Unlabeled,Processed,,,
IMG20250703090040,Unlabeled,Extracted,,,
IMG20250703090047,Unlabeled,Extracted,,,
IMG20250703090050,Unlabeled,Extracted,,,
IMG20250703090116,Unlabeled,Extracted,,,
IMG20250703090122,Unlabeled,Extracted,,,
IMG20250703090125,Unlabeled,Extracted,,,
IMG20250703090137,Unlabeled,Extracted,,,
IMG20250703090147,Unlabeled,Extracted,,,
IMG20250703090201,Unlabeled,Extracted,,,
IMG20250703090207,Unlabeled,Extracted,,,
IMG20250703090212,Unlabeled,Extracted,,,
IMG20250703090219,Unlabeled,Extracted,,,
IMG20250703090224,Unlabeled,Extracted,,,
IMG20250703090228,Unlabeled,Extracted,,,
IMG20250703090234,Unlabeled,Extracted,,,
IMG20250703090239,Unlabeled,Extracted,,,
IMG20250703090244,Unlabeled,Extracted,,,
IMG20250703090307,Unlabeled,Extracted,,,
IMG20250703090310,Unlabeled,Extracted,,,
IMG20250703090314,Unlabeled,Extracted,,,
IMG20250703090339,Unlabeled,Extracted,,,
IMG20250703090343,Unlabeled,Extracted,,,
IMG20250703090346,Unlabeled,Extracted,,,
IMG20250703090504,Unlabeled,Extracted,,,
IMG20250703090508,Unlabeled,Extracted,,,
IMG20250703090735,Unlabeled,Extracted,,,
IMG20250703090740,Unlabeled,Extracted,,,
IMG20250703090746,Unlabeled,Extracted,,,
IMG20250703090751,Unlabeled,Extracted,,,
IMG20250703090800,Unlabeled,Extracted,,,
IMG20250703090803,Unlabeled,Extracted,,,
IMG20250703090807,Unlabeled,Processed,,,
IMG20250703090811,Unlabeled,Processed,,,
IMG20250703090816,Unlabeled,Extracted,,,
IMG20250703090820,Unlabeled,Extracted,,,
IMG20250703090826,Unlabeled,Extracted,,,
IMG20250703090829,Unlabeled,Extracted,,,
IMG20250703090834,Unlabeled,Extracted,,,
IMG20250703090838,Unlabeled,Extracted,,,
IMG20250703090843,Unlabeled,Extracted,,,
IMG20250703090847,Unlabeled,Extracted,,,
IMG20250703090852,Unlabeled,Processed,,,
IMG20250703090855,Unlabeled,Extracted,,,
IMG20250703090906,Unlabeled,Extracted,,,
IMG20250703090909,Unlabeled,Extracted,,,
IMG20250703090913,Unlabeled,Extracted,,,
IMG20250703090916,Unlabeled,Extracted,,,
IMG20250703090920,Unlabeled,Extracted,,,
IMG20250703090923,Unlabeled,Extracted,,,
IMG20250703090929,Unlabeled,Extracted,,,
IMG20250703090931,Unlabeled,Extracted,,,
IMG20250703090937,Unlabeled,Extracted,,,
IMG20250703090940,Unlabeled,Extracted,,,
IMG20250703090944,Unlabeled,Extracted,,,
IMG20250703090948,Unlabeled,Extracted,,,
IMG20250703090953,Unlabeled,Extracted,,,
IMG20250703090956,Unlabeled,Extracted,,,
IMG20250703091001,Unlabeled,Extracted,,,
IMG20250703091004,Unlabeled,Extracted,,,
IMG20250703091010,Unlabeled,Extracted,,,
IMG20250703091014,Unlabeled,Extracted,,,
IMG20250703091020,Unlabeled,Extracted,,,
IMG20250703091024,Unlabeled,Extracted,,,
IMG20250703091028,Unlabeled,Extracted,,,
IMG20250703091031,Unlabeled,Extracted,,,
IMG20250703091050,Unlabeled,Extracted,,,
IMG20250703091103,Unlabeled,Extracted,,,
IMG20250703091111,Unlabeled,Extracted,,,
IMG20250703091114,Unlabeled,Extracted,,,
IMG20250703091127,Unlabeled,Extracted,,,
IMG20250703091131,Unlabeled,Extracted,,,
IMG20250703091139,Unlabeled,Extracted,,,
IMG20250703091144,Unlabeled,Extracted,,,
IMG20250703091200,Unlabeled,Extracted,,,
IMG20250703091204,Unlabeled,Extracted,,,
IMG20250703091213,Unlabeled,Extracted,,,
IMG20250703091216,Unlabeled,Extracted,,,
IMG20250703091225,Unlabeled,Extracted,,,
IMG20250703091232,Unlabeled,Extracted,,,
IMG20250703091236,Unlabeled,Extracted,,,
IMG20250703091247,Unlabeled,Extracted,,,
IMG20250703091255,Unlabeled,Extracted,,,
IMG20250703091304,Unlabeled,Extracted,,,
IMG20250703091307,Unlabeled,Extracted,,,
IMG20250703091312,Unlabeled,Extracted,,,
IMG20250703091317,Unlabeled,Extracted,,,
IMG20250703091323,Unlabeled,Extracted,,,
IMG20250703091330,Unlabeled,Extracted,,,
IMG20250703091334,Unlabeled,Extracted,,,
IMG20250703091340,Unlabeled,Extracted,,,
IMG20250703091344,Unlabeled,Extracted,,,
IMG20250703091349,Unlabeled,Extracted,,,
IMG20250703091352,Unlabeled,Extracted,,,
IMG20250703091413,Unlabeled,Extracted,,,
IMG20250703091418,Unlabeled,Extracted,,,
IMG20250703091426,Unlabeled,Extracted,,,
IMG20250703091433,Unlabeled,Extracted,,,
IMG20250703091437,Unlabeled,Extracted,,,
IMG20250703091445,Unlabeled,Extracted,,,
IMG20250703091451,Unlabeled,Extracted,,,
IMG20250703091458,Unlabeled,Extracted,,,
IMG20250703091505,Unlabeled,Extracted,,,
IMG20250703091511,Unlabeled,Extracted,,,
IMG20250703091514,Unlabeled,Extracted,,,
IMG20250703091519,Unlabeled,Extracted,,,
IMG20250703091525,Unlabeled,Extracted,,,
IMG20250703091530,Unlabeled,Extracted,,,
IMG20250703091734,Unlabeled,Extracted,,,
IMG20250703091738,Unlabeled,Extracted,,,
IMG20250703091742,Unlabeled,Extracted,,,
IMG20250703091746,Unlabeled,Extracted,,,
IMG20250703091749,Unlabeled,Extracted,,,
IMG20250703091756,Unlabeled,Processed,,,
IMG20250703091802,Unlabeled,Extracted,,,
IMG20250703091816,Unlabeled,Extracted,,,
IMG20250703091826,Unlabeled,Extracted,,,
IMG20250703091832,Unlabeled,Extracted,,,
IMG20250703091859,Unlabeled,Extracted,,,
IMG20250703091904,Unlabeled,Extracted,,,
IMG20250703091911,Unlabeled,Extracted,,,
IMG20250703091950,Unlabeled,Extracted,,,
IMG20250703091954,Unlabeled,Extracted,,,
IMG20250703091957,Unlabeled,Extracted,,,
IMG20250703092003,Unlabeled,Extracted,,,
IMG20250703092024,Unlabeled,Extracted,,,
IMG20250703092036,Unlabeled,Extracted,,,
IMG20250703092047,Unlabeled,Extracted,,,
IMG20250703092057,Unlabeled,Extracted,,,
IMG20250703092059,Unlabeled,Extracted,,,
IMG20250703092104,Unlabeled,Extracted,,,
IMG20250703092109,Unlabeled,Extracted,,,
IMG20250703092137,Anthracnose,Processed,,,
IMG20250703092142,Anthracnose,Processed,,,
IMG20250703092151,Anthracnose,Extracted,,,
IMG20250703092158,Anthracnose,Extracted,,,
IMG20250703092205,Anthracnose,Extracted,,,
IMG20250703092213,Anthracnose,Processed,,,
IMG20250703092217,Anthracnose,Processed,,,
IMG20250703092224,Anthracnose,Extracted,,,
IMG20250703092228,Anthracnose,Extracted,,,
IMG20250703092246,Anthracnose,Processed,,,
IMG20250703092252,Anthracnose,Processed,,,
IMG20250703092258,Anthracnose,Extracted,,,
IMG20250703092302,Anthracnose,Extracted,,,
IMG20250703092314,Unlabeled,Extracted,,,
IMG20250703092320,Unlabeled,Extracted,,,
IMG20250703092323,Unlabeled,Extracted,,,
IMG20250703092329,Unlabeled,Extracted,,,
IMG20250703092333,Unlabeled,Extracted,,,
IMG20250703092343,Unlabeled,Extracted,,,
IMG20250703092350,Unlabeled,Extracted,,,
IMG20250703092353,Unlabeled,Extracted,,,
IMG20250703092402,Unlabeled,Extracted,,,
IMG20250703092405,Unlabeled,Extracted,,,
IMG20250703092416,Unlabeled,Extracted,,,
IMG20250703092419,Unlabeled,Extracted,,,
IMG20250703092421,Unlabeled,Extracted,,,
IMG20250703092429,Unlabeled,Extracted,,,
IMG20250703092433,Unlabeled,Extracted,,,
IMG20250703092438,Unlabeled,Extracted,,,
IMG20250703092440,Unlabeled,Extracted,,,
IMG20250703092443,Unlabeled,Processed,,,
IMG20250703092446,Unlabeled,Processed,,,
IMG20250703092453,Unlabeled,Processed,,,
IMG20250703092456,Unlabeled,Processed,,,
IMG20250703092459,Unlabeled,Processed,,,
IMG20250703092508,Unlabeled,Processed,,,
IMG20250703092513,Unlabeled,Processed,,,
IMG20250703092518,Unlabeled,Processed,,,
IMG20250703092523,Unlabeled,Processed,,,
IMG20250703092528,Unlabeled,Processed,,,
IMG20250703092543,Unlabeled,Processed,,,
IMG20250703092546,Unlabeled,Processed,,768,1554
IMG20250703092553,Unlabeled,Processed,,,
IMG20250703092654,Unlabeled,Partial,,,
IMG20250703092658,Unlabeled,Processed,,,
IMG20250703092702,Unlabeled,Partial,,,
IMG20250703092709,Unlabeled,Processed,,,
IMG20250703092714,Unlabeled,Processed,,,
IMG20250703092717,Unlabeled,Processed,,,
IMG20250703092731,Unlabeled,Processed,,,
IMG20250703092738,Unlabeled,Processed,,,
IMG20250703092831,Unlabeled,Processed,,,
IMG20250703092838,Unlabeled,Processed,,,
IMG20250703092847,Unlabeled,Processed,,,
IMG20250703092853,Unlabeled,Processed,,,
IMG20250703092859,Unlabeled,Processed,,,
IMG20250703092910,Unlabeled,Processed,,,
IMG20250703092917,Unlabeled,Processed,,,
IMG20250703092920,Unlabeled,Processed,,,
IMG20250703092925,Unlabeled,Processed,,,
IMG20250703093012,Unlabeled,Processed,,,
IMG20250703093023,Unlabeled,Processed,,,
IMG20250703093026,Unlabeled,Processed,,,
IMG20250703093038,Unlabeled,Processed,,850,1844
IMG20250703093045,Unlabeled,Processed,,,
IMG20250703093052,Unlabeled,Processed,,,
IMG20250703093057,Unlabeled,Unusable,,,
IMG20250703093109,Unlabeled,Processed,,,
IMG20250703093122,Unlabeled,Processed,,,
IMG20250703093127,Unlabeled,Processed,,,
IMG20250703093139,Unlabeled,Processed,,,
IMG20250703093147,Unlabeled,Processed,,,
IMG20250703093221,Unlabeled,Processed,,,
IMG20250703093226,Unlabeled,Processed,,,
IMG20250703093230,Unlabeled,Processed,,,
IMG20250703093237,Unlabeled,Processed,,,
IMG20250703093245,Unlabeled,Processed,,,
IMG20250703093251,Unlabeled,Processed,,,
IMG20250703093258,Unlabeled,Processed,,,
IMG20250703093304,Unlabeled,Processed,,,
IMG20250703093310,Unlabeled,Processed,,,
IMG20250703093313,Unlabeled,Processed,,,
IMG20250703093318,Unlabeled,Processed,,,
IMG20250703093321,Unlabeled,Processed,,,
IMG20250703093325,Unlabeled,Processed,,,
IMG20250703093327,Unlabeled,Processed,,,
IMG20250703093342,Unlabeled,Processed,,,
IMG20250703093345,Unlabeled,Processed,,,
IMG20250703093349,Unlabeled,Processed,,,
IMG20250703093401,Unlabeled,Processed,,,
IMG20250703093411,Unlabeled,Extracted,,,
IMG20250703093418,Unlabeled,Extracted,,,
IMG20250703093426,Unlabeled,Extracted,,,
IMG20250703093431,Unlabeled,Extracted,,,
IMG20250703093438,Unlabeled,Extracted,,,
IMG20250703093457,Unlabeled,Extracted,,,
IMG20250703093500,Unlabeled,Extracted,,,
IMG20250703093504,Unlabeled,Extracted,,,
IMG20250703093515,Unlabeled,Extracted,,,
IMG20250703093518,Unlabeled,Extracted,,,
IMG20250703093521,Unlabeled,Extracted,,,
IMG20250703093528,Unlabeled,Extracted,,,
IMG20250703093535,Unlabeled,Extracted,,,
IMG20250703093538,Unlabeled,Extracted,,,
IMG20250703093540,Unlabeled,Extracted,,,
IMG20250703093544,Unlabeled,Extracted,,,
IMG20250703093551,Unlabeled,Extracted,,,
IMG20250703093553,Unlabeled,Extracted,,,
IMG20250703093557,Unlabeled,Extracted,,,
IMG20250703093630,Unlabeled,Extracted,,,
IMG20250703093643,Unlabeled,Extracted,,,
IMG20250703093648,Unlabeled,Extracted,,,
IMG20250703093701,Mites,Extracted,,,
IMG20250703093724,Mites,Extracted,,,
IMG20250703093733,Unlabeled,Processed,,,
IMG20250703093750,Mites,Extracted,,,
IMG20250703093754,Unlabeled,Extracted,,,
IMG20250703093803,Unlabeled,Extracted,,,
IMG20250703093808,Unlabeled,Extracted,,,
IMG20250703093812,Unlabeled,Extracted,,,
IMG20250703093816,Unlabeled,Extracted,,,
IMG20250703093822,Unlabeled,Extracted,,,
IMG20250703093829,Unlabeled,Extracted,,,
IMG20250703093837,Unlabeled,Extracted,,,
IMG20250703093840,Unlabeled,Extracted,,,
IMG20250703093844,Unlabeled,Extracted,,,
IMG20250703093854,Unlabeled,Extracted,,,
IMG20250703093859,Unlabeled,Extracted,,,
IMG20250703093910,Unlabeled,Extracted,,,
IMG20250703093919,Unlabeled,Extracted,,,
IMG20250703093924,Unlabeled,Extracted,,,
IMG20250703093928,Unlabeled,Extracted,,,
IMG20250703093939,Unlabeled,Processed,,,
IMG20250703093943,Unlabeled,Extracted,,,
IMG20250703093951,Unlabeled,Extracted,,,
IMG20250703093954,Unlabeled,Extracted,,,
IMG20250703094000,Unlabeled,Extracted,,,
IMG20250703094605,Canker,Extracted,,,
IMG20250703094609,Anthracnose,Partial,,,
IMG20250703094620,Anthracnose,Extracted,,,
IMG20250703094624,Anthracnose,Extracted,,,
IMG20250703094636,Anthracnose,Partial,,,
IMG20250703094640,Anthracnose,Partial,,,
IMG20250703094648,Anthracnose,Extracted,,,
IMG20250703094652,Anthracnose,Processed,,,
IMG20250703094746,Anthracnose,Partial,,,
IMG20250703094756,Anthracnose,Partial,,,
IMG20250703094929,Unlabeled,Extracted,,,
IMG20250703094932,Unlabeled,Extracted,,,
IMG20250703094937,Unlabeled,Extracted,,,
IMG20250703094942,Unlabeled,Extracted,,,
IMG20250703095045,Unlabeled,Extracted,,,
IMG20250703095054,Unlabeled,Extracted,,,
IMG20250703095104,Unlabeled,Extracted,,,
IMG20250703095106,Unlabeled,Extracted,,,
IMG20250703095114,Unlabeled,Extracted,,,
IMG20250703095120,Unlabeled,Extracted,,,
IMG20250703095131,Unlabeled,Extracted,,,
IMG20250703095136,Unlabeled,Extracted,,,
IMG20250703095230,Unlabeled,Extracted,,,
IMG20250703095234,Unlabeled,Extracted,,,
IMG20250703095241,Unlabeled,Extracted,,,
IMG20250703095249,Unlabeled,Processed,,,
IMG20250703095253,Unlabeled,Extracted,,,
IMG20250703095255,Unlabeled,Extracted,,,
IMG20250703095257,Unlabeled,Extracted,,,
IMG20250703095302,Unlabeled,Extracted,,,
IMG20250703095304,Unlabeled,Extracted,,,
IMG20250703095308,Unlabeled,Extracted,,,
IMG20250703095417,Unlabeled,Extracted,,,
IMG20250703095421,Unlabeled,Extracted,,,
IMG20250703095432,Unlabeled,Extracted,,,
IMG20250703095501,Unlabeled,Extracted,,,
IMG20250703095503,Unlabeled,Extracted,,,
IMG20250703095508,Unlabeled,Extracted,,,
IMG20250703095511,Unlabeled,Extracted,,,
IMG20250703095529,Unlabeled,Extracted,,,
IMG20250703095546,Unlabeled,Extracted,,,
IMG20250703095559,Unlabeled,Extracted,,,
IMG20250703095602,Unlabeled,Extracted,,,
IMG20250703095614,Unlabeled,Extracted,,,
IMG20250703095617,Unlabeled,Extracted,,,
IMG20250703095624,Unlabeled,Extracted,,,
IMG20250703095634,Unlabeled,Extracted,,,
IMG20250703095642,Unlabeled,Extracted,,,
IMG20250703095646,Anthracnose,Processed,,,
IMG20250703095657,Unlabeled,Extracted,,,
IMG20250703095716,Unlabeled,Extracted,,,
IMG20250703095728,Unlabeled,Extracted,,,
IMG20250703095738,Unlabeled,Extracted,,,
IMG20250703095802,Unlabeled,Extracted,,,
IMG20250703095805,Unlabeled,Extracted,,,
IMG20250703095808,Unlabeled,Extracted,,,
IMG20250703095816,Unlabeled,Extracted,,,
IMG20250703095819,Unlabeled,Extracted,,,
IMG20250703095822,Unlabeled,Extracted,,,
IMG20250703095901,Unlabeled,Extracted,,,
IMG20250703095905,Unlabeled,Extracted,,,
IMG20250703095913,Unlabeled,Extracted,,,
IMG20250703095917,Unlabeled,Extracted,,,
IMG20250703095928,Unlabeled,Extracted,,,
IMG20250703095937,Unlabeled,Extracted,,,
IMG20250703095939,Unlabeled,Extracted,,,
IMG20250703095951,Unlabeled,Extracted,,,
IMG20250703100007,Unlabeled,Extracted,,,
IMG20250703100019,Unlabeled,Extracted,,,
IMG20250703100022,Unlabeled,Extracted,,,
IMG20250703100025,Unlabeled,Extracted,,,
IMG20250703100033,Unlabeled,Extracted,,,
IMG20250703100036,Unlabeled,Extracted,,,
IMG20250703100039,Unlabeled,Extracted,,,
IMG20250703100044,Unlabeled,Extracted,,,
IMG20250703100047,Unlabeled,Extracted,,,
IMG20250703100053,Unlabeled,Extracted,,,
IMG20250703100100,Unlabeled,Extracted,,,
IMG20250703100103,Unlabeled,Extracted,,,
IMG20250703100109,Unlabeled,Extracted,,,
IMG20250703100112,Unlabeled,Extracted,,,
IMG20250703100121,Unlabeled,Extracted,,,
IMG20250703100123,Unlabeled,Extracted,,,
IMG20250703100126,Unlabeled,Extracted,,,
IMG20250703100131,Unlabeled,Extracted,,,
IMG20250703100137,Unlabeled,Extracted,,,
IMG20250703100143,Unlabeled,Extracted,,,
IMG20250703100145,Unlabeled,Extracted,,,
IMG20250703100235,Unlabeled,Extracted,,,
IMG20250703100239,Anthracnose,Processed,,,
IMG20250703100242,Anthracnose,Partial,,,
IMG20250703100445,Unlabeled,Extracted,,,
IMG20250703100450,Unlabeled,Extracted,,,
IMG20250703100500,Unlabeled,Extracted,,,
IMG20250703100506,Unlabeled,Extracted,,,
IMG20250703100520,Unlabeled,Extracted,,,
IMG20250703100523,Unlabeled,Extracted,,,
IMG20250703100528,Unlabeled,Extracted,,,
IMG20250703100537,Unlabeled,Extracted,,,
IMG20250703100548,Unlabeled,Extracted,,,
IMG20250703100552,Unlabeled,Extracted,,,
IMG20250703100610,Unlabeled,Extracted,,,
IMG20250703100615,Unlabeled,Extracted,,,
IMG20250703100625,Unlabeled,Extracted,,,
IMG20250703100627,Unlabeled,Extracted,,,
IMG20250703100632,Unlabeled,Processed,,,
IMG20250703100638,Unlabeled,Extracted,,,
IMG20250703100642,Unlabeled,Extracted,,,
IMG20250703100644,Unlabeled,Extracted,,,
IMG20250703100647,Unlabeled,Extracted,,,
IMG20250703100655,Unlabeled,Extracted,,,
IMG20250703100659,Unlabeled,Extracted,,,
IMG20250703100704,Unlabeled,Extracted,,,
IMG20250703100728,Unlabeled,Extracted,,,
IMG20250703100730,Unlabeled,Extracted,,,
IMG20250703100736,Unlabeled,Extracted,,,
IMG20250703100744,Unlabeled,Extracted,,,
IMG20250703100749,Unlabeled,Extracted,,,
IMG20250703100800,Unlabeled,Extracted,,,
IMG20250703100803,Unlabeled,Extracted,,,
IMG20250703100811,Unlabeled,Extracted,,,
IMG20250703100820,Unlabeled,Extracted,,,
IMG20250703100825,Unlabeled,Extracted,,,
IMG20250703100840,Unlabeled,Extracted,,,
IMG20250703100842,Unlabeled,Extracted,,,
IMG20250703100856,Unlabeled,Extracted,,,
IMG20250703100900,Unlabeled,Extracted,,,
IMG20250703100902,Unlabeled,Extracted,,,
IMG20250703100921,Unlabeled,Extracted,,,
IMG20250703100931,Unlabeled,Extracted,,,
IMG20250703100945,Unlabeled,Extracted,,,
IMG20250703100952,Unlabeled,Extracted,,,
IMG20250703101003,Unlabeled,Extracted,,,
IMG20250703101006,Unlabeled,Extracted,,,
IMG20250703101009,Unlabeled,Extracted,,,
IMG20250703101011,Unlabeled,Extracted,,,
IMG20250703101016,Unlabeled,Extracted,,,
IMG20250703101027,Unlabeled,Extracted,,,
